# 081218-50fmolMix_180813173507.raw
index	id	event	analyzer	msLevel	rt	mzLow	mzHigh	basePeakMZ	basePeakInt	TIC	charge	precursorMZ	thermo_monoMZ	filterStringMZ	ionInjectionTime
0	0.1.1	1	Orbitrap	ms1	0.19	363	899	371.1016	161247.69	1555835.88	0	0.0000	0.0000	0.0000	50.0000
1	0.1.2	3	IonTrap	ms3	0.36	381	432	404.1385	17.66	37.49	0	413.1700	0.0000	421.7400	100.0000
2	0.1.3	4	IonTrap	ms3	0.64	356	365	364.7277	16.49	19.51	0	397.7500	0.0000	429.7300	100.0000
3	0.1.4	5	IonTrap	ms3	0.93	241	606	364.2067	32.38	212.52	0	382.6700	0.0000	399.7500	100.0000
4	0.1.5	6	IonTrap	ms3	1.21	0	0	0.0000	0.00	0.00	0	399.1700	0.0000	421.7400	100.0000
5	0.1.6	1	Orbitrap	ms1	1.46	363	898	371.1014	177458.20	1918832.63	0	0.0000	0.0000	0.0000	50.0000
6	0.1.7	3	IonTrap	ms3	1.61	404	406	403.6101	11.59	18.09	0	413.1700	0.0000	421.7400	100.0000
7	0.1.8	4	IonTrap	ms3	1.86	0	0	0.0000	0.00	0.00	0	397.7500	0.0000	429.7300	100.0000
8	0.1.9	5	IonTrap	ms3	2.12	188	401	320.0527	26.77	174.45	0	382.6700	0.0000	399.7500	100.0000
9	0.1.10	6	IonTrap	ms3	2.38	0	0	0.0000	0.00	0.00	0	399.1700	0.0000	421.7400	100.0000
10	0.1.11	1	Orbitrap	ms1	2.64	360	894	371.1015	138719.31	1680958.50	0	0.0000	0.0000	0.0000	50.0000
11	0.1.12	3	IonTrap	ms3	2.78	395	412	403.6986	5.18	9.38	0	413.1700	0.0000	421.7400	100.0000
12	0.1.13	4	IonTrap	ms3	3.04	398	398	397.7800	1.63	1.63	0	397.7500	0.0000	429.7300	100.0000
13	0.1.14	5	IonTrap	ms3	3.29	193	459	364.0570	23.83	236.00	0	382.6700	0.0000	399.7500	100.0000
14	0.1.15	6	IonTrap	ms3	3.55	0	0	0.0000	0.00	0.00	0	399.1700	0.0000	421.7400	100.0000
15	0.1.16	1	Orbitrap	ms1	3.81	360	899	371.1015	139195.44	1572803.25	0	0.0000	0.0000	0.0000	50.0000
16	0.1.17	3	IonTrap	ms3	3.95	399	404	398.9431	16.01	27.76	0	413.1700	0.0000	421.7400	100.0000
17	0.1.18	4	IonTrap	ms3	4.21	0	0	0.0000	0.00	0.00	0	397.7500	0.0000	429.7300	100.0000
18	0.1.19	5	IonTrap	ms3	4.47	253	563	363.6374	33.63	263.82	1	382.6700	0.0000	399.7500	100.0000
19	0.1.20	6	IonTrap	ms3	4.73	357	357	357.0448	4.37	4.37	0	399.1700	0.0000	421.7400	100.0000
20	0.1.21	1	Orbitrap	ms1	4.99	363	894	371.1013	205461.61	1769940.38	0	0.0000	0.0000	0.0000	50.0000
21	0.1.22	3	IonTrap	ms3	5.13	404	422	403.8919	9.87	13.94	0	413.1700	0.0000	421.7400	100.0000
22	0.1.23	4	IonTrap	ms3	5.38	0	0	0.0000	0.00	0.00	0	397.7500	0.0000	429.7300	100.0000
23	0.1.24	5	IonTrap	ms3	5.64	212	402	339.9739	32.74	233.44	0	382.6700	0.0000	399.7500	100.0000
24	0.1.25	6	IonTrap	ms3	5.90	293	293	292.5693	10.93	10.93	0	399.1700	0.0000	421.7400	100.0000
25	0.1.26	1	Orbitrap	ms1	6.16	361	900	371.1015	215829.45	1909277.13	0	0.0000	0.0000	0.0000	50.0000
26	0.1.27	3	IonTrap	ms3	6.30	368	412	368.0435	24.50	29.93	0	413.1700	0.0000	421.7400	100.0000
27	0.1.28	4	IonTrap	ms3	6.56	383	383	382.9095	2.73	2.73	0	397.7500	0.0000	429.7300	100.0000
28	0.1.29	5	IonTrap	ms3	6.82	227	589	351.2736	31.09	307.28	0	382.6700	0.0000	399.7500	100.0000
29	0.1.30	6	IonTrap	ms3	7.08	347	381	381.1607	11.68	14.91	0	399.1700	0.0000	421.7400	100.0000
30	0.1.31	1	Orbitrap	ms1	7.34	362	896	371.1013	177053.52	1886261.63	0	0.0000	0.0000	0.0000	50.0000
31	0.1.32	3	IonTrap	ms3	7.48	356	604	355.9856	30.13	36.13	0	413.1700	0.0000	421.7400	100.0000
32	0.1.33	4	IonTrap	ms3	7.73	0	0	0.0000	0.00	0.00	0	397.7500	0.0000	429.7300	100.0000
33	0.1.34	5	IonTrap	ms3	7.99	140	382	353.8087	29.21	215.43	0	382.6700	0.0000	399.7500	100.0000
34	0.1.35	6	IonTrap	ms3	8.25	390	402	390.1732	5.19	8.65	0	399.1700	0.0000	421.7400	100.0000
35	0.1.36	1	Orbitrap	ms1	8.51	362	893	371.1012	154616.86	1799655.00	0	0.0000	0.0000	0.0000	50.0000
36	0.1.37	3	IonTrap	ms3	8.65	391	404	391.3675	7.14	12.87	0	413.1700	0.0000	421.7400	100.0000
37	0.1.38	4	IonTrap	ms3	8.91	325	390	363.5970	13.84	35.68	0	397.7500	0.0000	429.7300	100.0000
38	0.1.39	5	IonTrap	ms3	9.16	214	648	366.9214	23.05	296.91	0	382.6700	0.0000	399.7500	100.0000
39	0.1.40	6	IonTrap	ms3	9.42	371	377	370.9353	20.42	21.85	0	399.1700	0.0000	421.7400	100.0000
40	0.1.41	1	Orbitrap	ms1	9.68	363	899	371.1015	161388.69	1748582.75	0	0.0000	0.0000	0.0000	50.0000
41	0.1.42	3	IonTrap	ms3	9.83	301	383	382.6736	4.15	6.86	0	413.1700	0.0000	421.7400	100.0000
42	0.1.43	4	IonTrap	ms3	10.08	305	305	305.0882	19.42	19.42	0	397.7500	0.0000	429.7300	100.0000
43	0.1.44	5	IonTrap	ms3	10.34	194	543	355.9115	41.51	351.38	0	382.6700	0.0000	399.7500	100.0000
44	0.1.45	6	IonTrap	ms3	10.60	389	389	389.4597	15.87	15.87	0	399.1700	0.0000	421.7400	100.0000
45	0.1.46	1	Orbitrap	ms1	10.86	360	893	371.1016	187662.09	1719620.75	0	0.0000	0.0000	0.0000	50.0000
46	0.1.47	3	IonTrap	ms3	11.01	395	653	395.3081	10.49	21.31	0	413.1700	0.0000	421.7400	100.0000
47	0.1.48	4	IonTrap	ms3	11.26	279	279	278.7969	9.36	9.36	0	397.7500	0.0000	429.7300	100.0000
48	0.1.49	5	IonTrap	ms3	11.52	221	462	363.9592	66.86	253.73	0	382.6700	0.0000	399.7500	100.0000
49	0.1.50	6	IonTrap	ms3	11.78	0	0	0.0000	0.00	0.00	0	399.1700	0.0000	421.7400	100.0000
50	0.1.51	1	Orbitrap	ms1	12.04	361	897	371.1016	155313.44	1688029.50	0	0.0000	0.0000	0.0000	50.0000
51	0.1.52	3	IonTrap	ms3	12.18	404	405	404.9224	10.78	18.81	0	413.1700	0.0000	421.7400	100.0000
52	0.1.53	4	IonTrap	ms3	12.43	0	0	0.0000	0.00	0.00	0	397.7500	0.0000	429.7300	100.0000
53	0.1.54	5	IonTrap	ms3	12.69	173	400	363.9352	18.55	175.79	0	382.6700	0.0000	399.7500	100.0000
54	0.1.55	6	IonTrap	ms3	12.95	0	0	0.0000	0.00	0.00	0	399.1700	0.0000	421.7400	100.0000
55	0.1.56	1	Orbitrap	ms1	13.21	362	893	371.1015	144929.11	1737493.75	0	0.0000	0.0000	0.0000	50.0000
56	0.1.57	3	IonTrap	ms3	13.35	365	633	393.1398	15.45	24.64	0	413.1700	0.0000	421.7400	100.0000
57	0.1.58	4	IonTrap	ms3	13.61	257	257	256.6896	3.28	3.28	0	397.7500	0.0000	429.7300	100.0000
